Wood price index obtained from GENESIS database:
GENESIS-Tabelle: 61231-0002 (verändert)
Erzeugerpreisindizes der Produkte des Holzeinschlags aus den Staatsforsten: Deutschland, Monate, Messzahlen ohne Umsatzsteuer, Produkte des Holzeinschlags 
Erzeugerpreisindex der Produkte des Holzeinschlags Deutschland
Erzeugerpreisindizes d. Produkte d. Holzeinschlags (2010=100)
__________
(C)opyright Statistisches Bundesamt (Destatis), 2019
Stand: 19.02.2019 / 10:38:39

"","Oak","Beech","Spruce","Pine"
"90",-2.7,-1,-0.800000000000011,-2
"91",-1.2,-5.5,-2.59999999999999,-1.69999999999999
"92",-0.299999999999997,-7.7,-2.3,-3.10000000000001
"93",1.3,-3,-3.10000000000001,-2.3
"94",-10.4,1.7,-1.19999999999999,2.8
"95",6.09999999999999,5.69999999999999,-1,-2.59999999999999
"96",9.60000000000001,18.9,-1.40000000000001,6.7
"97",-10,-1.8,1.2,-0.400000000000006
"98",0.799999999999997,-1,-2.40000000000001,-2.40000000000001
"99",-2.7,-4.60000000000001,-1.5,0.600000000000009
"100",-0.200000000000003,-0.699999999999989,-1,-2.10000000000001
"101",-11.9,-2.7,-2.3,-5.5
"102",2.5,-2.2,0.5,-3.59999999999999
"103",-3.5,-9.40000000000001,0.299999999999997,2.40000000000001
