Wood price index obtained from GENESIS database:
GENESIS-Tabelle: 61231-0002 (verändert)
Erzeugerpreisindizes der Produkte des Holzeinschlags aus den Staatsforsten: Deutschland, Monate, Messzahlen ohne Umsatzsteuer, Produkte des Holzeinschlags 
Erzeugerpreisindex der Produkte des Holzeinschlags Deutschland
Erzeugerpreisindizes d. Produkte d. Holzeinschlags (2010=100)
__________
(C)opyright Statistisches Bundesamt (Destatis), 2019
Stand: 19.02.2019 / 10:38:39

"","Oak","Beech","Spruce","Pine"
"229",99.8,101.6,93.1,85.8
"230",110.8,102.2,97.6,86.3
"231",105.4,103.6,94.1,89.6
"232",97.1,104.2,92.2,87.5
"233",94.9,105.3,92.9,85.4
"234",96.3,103.3,89,85.5
"235",96.5,95.2,87.4,87.9
"236",100.2,99.6,84.5,87.5
"237",103.6,104.7,85.1,90.7
"238",97.3,110.3,87,92.4
"239",107.4,111.2,88.6,93.6
"240",107,114.9,86.7,94.6
"241",107.7,114.8,90.7,97.7
"242",120.1,116.8,91.9,97.7
"243",115.4,117.4,92.5,99.4
"244",116.8,117,91.7,97.4
"245",114,117.4,91.2,97.8
"246",111.7,114.8,90.3,96.3
"247",107.3,114.5,89.7,97.6
"248",119.1,114.6,87.6,96
"249",110.7,114.8,87.2,97.2
"250",106.8,110.5,88.4,97.2
"251",113.4,111.4,88.8,97
"252",104.5,109.5,88.6,96.2
"253",113.3,110.3,89,97.9
"254",114.3,106.4,89.6,96
"255",103,105.5,88.7,93.7
"256",98.5,108.6,87.3,94.2
"257",100.7,110,84.4,89.8
"258",100.6,112,84,86.6
"259",98.1,106.3,83.4,86.8
"260",92.6,108.8,82.2,86
"261",99.9,95.9,86.2,90.4
"262",102.3,97.7,88,91.9
"263",89.9,99,88.8,92.7
"264",98.9,107.1,90.5,91
"265",105.1,97.9,91.7,94.5
"266",102.5,100.2,92,93.7
"267",99.5,99.5,92.3,95.5
"268",98,99,94.4,96.1
"269",96.3,99.2,96.2,96.9
"270",96.6,102.2,96.8,96.9
"271",101.7,94.7,100.5,98.5
"272",96.4,92.7,102.1,99.1
"273",97.7,100.5,104.1,101.8
"274",98.7,103.9,106.8,107.1
"275",103,104.4,111.8,109.3
"276",104.5,105.7,111.2,110.8
"277",110.9,106.9,113.4,112
"278",111.5,106.8,113.3,113.5
"279",110.1,108.5,114.4,118.8
"280",109,108.7,114.7,121.2
"281",111.3,111.2,116.5,120.6
"282",109.5,105.9,117.5,121.5
"283",111.3,102.3,119.1,121.3
"284",113.9,109.9,119.9,124.7
"285",108.2,113.5,121.3,123.6
"286",114.2,114.1,122.3,127.3
"287",112.1,111.9,124.3,129.4
"288",110.4,114.1,124,130
"289",117.7,112.8,123.2,127.2
"290",113.4,114.3,123.8,129.6
"291",116.5,115.7,123.5,128.7
"292",114.8,112.6,122.6,128.8
"293",114.8,113.7,121.9,125.2
"294",114,109.1,121.4,127.3
"295",111.3,107.5,120.7,127.1
"296",112.8,105.8,120,125.8
"297",114,110.1,118.7,126
"298",112.2,112.9,118.4,124.4
"299",113,113.3,119.8,124.4
"300",115.2,109,118.8,122.9
"301",113.9,111.8,119.4,126.1
"302",112.3,108.5,120.1,124.1
"303",120.3,110.7,120.4,124.6
"304",115.1,110.4,120.5,124.2
"305",111.1,112.2,119.2,122.4
"306",112.3,107.3,119.3,122.6
"307",113.8,102.6,120.8,121.8
"308",109.7,105.8,120.8,124.6
"309",115.2,110.2,122.2,126
"310",116,112.7,121.9,128.2
"311",115.4,114.7,122.9,127.9
"312",116.1,112.1,124.3,127.4
"313",116.3,112.1,125,130.7
"314",118.9,112.6,127,131.5
"315",117.8,113.8,127.9,130
"316",116.5,112.2,127.9,131.7
"317",114.9,117.7,127.2,131.8
"318",116.7,107.5,126.6,132.5
"319",110.6,108.2,126.6,129.7
"320",114.1,109.8,125.5,131.4
"321",113.4,116.1,124.9,131.5
"322",115.6,119.2,125.4,132.9
"323",116.3,120.8,125.7,132
"324",117.8,116.1,125.1,133.1
"325",118.9,115,125.1,132.8
"326",122.7,115.2,124.4,129.3
"327",120.9,115.2,124.3,133.6
"328",118.1,115.5,124.3,132.2
"329",118.7,116.8,121.5,131.3
"330",118.6,112.9,121.1,128.6
"331",117.6,109.6,119.2,128
"332",115.8,107.8,117.8,128.3
"333",122.6,120.2,117,128.6
"334",117.2,122.6,117.2,126.9
"335",120.1,119.6,115.9,127.4
"336",121.8,117.7,116.6,125.7
"337",122.6,117.2,116.6,124.9
"338",126,117.4,116,123.8
"339",126.4,116.7,115.4,125.4
"340",121.8,119,115.1,126.4
"341",123,114.1,115.3,124.4
"342",124,111,114.9,124.8
"343",123,110.8,114.6,123.7
"344",122.8,117.2,113.4,120.7
"345",124,122.8,113.6,121.1
"346",119.5,124.3,114.8,122
"347",124.3,121.9,114,123.1
"348",129.3,120.9,115,122.2
"349",126.9,116.4,114.8,122.8
"350",131.7,119.4,115.4,123.8
"351",130.3,119.3,115.3,122.7
"352",129.1,119.9,115.6,124.2
"353",128.9,116,114.5,121.3
"354",128.5,112.7,115.1,121.2
"355",125.9,110.4,115.4,121
"356",126,116.6,114.9,120.3
"357",129.5,119.6,114.8,122.6
"358",126.2,122.7,117.1,123.7
"359",129.6,121.3,116.4,122.3
"360",132.3,119.5,117.3,122
